Year,Period,Branch,New Equipment Sales,Used Equipment Sales,RPO Sales,Re-Marketing Sales,Trade-In Sales,RtoR Sales,Other,Total Equipment,RF Revenue,RPO Revenue,Re-Rent Revenue,Loaner Revenue,Loaner Internal,Used Rental,Total Rental,Parts Counter,Parts Shop,Parts Warranty,Warranty Settlement,Warranty Settlement - Adj,Parts Internal,Parts Internal - CSA Cust,Parts Internal - CSA Rental,Parts Internal - ACAP,Parts Internal - EM,Total Parts,Customer,Warranty,Internal,Sublet,Total Service
2019,1,113,1031096.28,0,33960,0,0,0,0,1065056.28,86335,31113,0,0,0,26931.99,144796.66,198034.12,99856.37,56888.76,6585.41,0,23051.63,4889.74,0,1233.59,0,390539.62,101958.5,32617.5,63160,8262.65,205998.65
2019,1,114,494905,14000,0,0,0,238988.22,3325,751218.22,125215,20415,0,0,0,15569.66,200244.66,284941.66,181385.3,21497.06,-141.22,0,38218.48,36338.39,0,5364.56,0,567604.23,133448.69,9021.5,103680.35,15751.03,261901.57
2019,1,117,160009,0,0,0,0,0,2222,162231,29850,24000,0,0,0,26200,80050,71506.19,25031.61,6531,10777.4,0,4305.4,953.39,0,5232.53,0,124337.52,29167,14049.5,23701.25,75.52,66993.27
2019,1,160,106352,0,0,105442.41,0,0,5786.69,217581.1,42916.66,6608.34,0,0,0,120533.34,197808.34,199765.74,153321.81,65880.77,891.45,0,10914,1954.8,0,0,0,432728.57,62321.75,20606.5,35580,330.77,118839.02
2019,1,190,4900,2500,0,687000,111500,262000,0,1067900,-8000,85000,0,0,0,8500,85500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,1,215,1014358,0,0,0,0,0,0,1014358,18000,0,0,0,0,12876.66,39567.66,213715.93,141827.23,63125.59,2638.3,0,54048.37,3019.51,0,2060.75,0,480435.68,83369.88,33991.25,62312.25,2682.76,182356.14
2019,1,216,174650,0,0,0,0,0,0,174650,27550,0,0,0,0,-4550,33500,85091.18,55439.84,14333.88,-513.05,0,2015.83,13212.88,0,2320.52,0,171901.08,61995,17592.75,26509,997.08,107093.83
2019,1,218,340527.9,0,0,305000,0,0,0,645527.9,129713.59,0,0,0,0,169861.41,355275,114006.53,117667.6,15929.55,2627.49,0,15653.88,2675.96,0,4256.84,0,272817.85,56444,20984,37813,1780.18,117021.18
2019,1,364,0,0,0,561847.03,0,480765,0,1042612.03,24850,0,0,0,0,69650,108800,4992.48,20704.39,6751.69,161.99,0,488.85,0,0,5774.86,0,38874.26,30425,7371,4846.5,0,42642.5
2019,1,365,520934,12500,0,214000,0,0,0,747434,152737,7500,28000,0,0,119458.32,347901.32,150853.95,72984.1,51990.51,11575.55,0,63845.22,1607.81,0,9783,0,362640.14,86206.25,30743.75,98606,9800.02,225356.02
