Year,Period,Branch,Parts Counter,Parts Shop,Parts Warranty,Warranty Settlement,Warranty Settlement - Adj,Parts Internal,Parts Internal - CSA Cust,Parts Internal - CSA Rental,Parts Internal - ACAP,Parts Internal - EM,Total Parts
2019,1,113,198034.12,99856.37,56888.76,6585.41,0,23051.63,4889.74,0,1233.59,0,390539.62
2019,1,114,284941.66,181385.3,21497.06,-141.22,0,38218.48,36338.39,0,5364.56,0,567604.23
2019,1,117,71506.19,25031.61,6531,10777.4,0,4305.4,953.39,0,5232.53,0,124337.52
2019,1,160,199765.74,153321.81,65880.77,891.45,0,10914,1954.8,0,0,0,432728.57
2019,1,190,0,0,0,0,0,0,0,0,0,0,0
2019,1,215,213715.93,141827.23,63125.59,2638.3,0,54048.37,3019.51,0,2060.75,0,480435.68
2019,1,216,85091.18,55439.84,14333.88,-513.05,0,2015.83,13212.88,0,2320.52,0,171901.08
2019,1,218,114006.53,117667.6,15929.55,2627.49,0,15653.88,2675.96,0,4256.84,0,272817.85
2019,1,364,4992.48,20704.39,6751.69,161.99,0,488.85,0,0,5774.86,0,38874.26
2019,1,365,150853.95,72984.1,51990.51,11575.55,0,63845.22,1607.81,0,9783,0,362640.14
2019,1,366,0,0,0,0,0,0,0,0,0,0,0
2019,1,367,334971.82,196804.48,125300.91,16370.1,0,76692.19,10936.43,0,165415.37,0,926491.3
2019,1,401,51020.69,9213.27,1065.68,971.13,0,5611.81,0,0,0,0,67882.58
2019,1,403,39977.92,60542.06,7293.57,710.45,0,100.57,3609.11,0,298.61,0,112532.29
2019,1,404,9180.4,5595.38,4730.97,211.62,0,5298.61,0,0,0,0,25016.98
2019,1,520,68759.89,29423.53,11239.05,2365.19,0,1171.75,4723.17,0,0,0,117682.58
2019,1,536,46846.22,13106.38,10823.24,942.88,0,11399.81,0,0,0,0,83118.53
2019,2,113,172507.95,102576.04,71597.91,-1682.84,0,37568.72,308.88,0,981.96,0,383858.62
2019,2,114,321105.76,80758.02,80765.8,-1287.97,0,28423.06,43519.46,0,3026.15,0,556310.28
2019,2,117,116715.44,20332.03,12737.19,2230.01,0,8834.69,3084.5,0,11099.61,0,175033.47
2019,2,160,172262.48,78642.47,34444.69,205.13,0,8273.23,3257.02,0,0,0,297085.02
2019,2,190,0,0,0,-38.48,0,0,0,0,0,0,-38.48
2019,2,215,128338.98,151402.47,19406.9,-6024.46,0,23903.72,5863.65,0,19010.07,0,341901.33
2019,2,216,90078.53,19818.56,25864.92,1157.84,0,34742.89,10377.36,0,53642.21,0,235682.31
2019,2,218,77765.16,30274.17,45900.02,1145.85,0,17109.5,1660.31,0,294.33,0,174149.34
2019,2,364,5476.61,24797.49,8218.11,-338.11,0,2886.43,773.59,0,4479.02,0,46293.14
2019,2,365,177859.38,70003.92,64510.83,2138.88,0,30118.72,3824.39,0,10062.98,0,358519.1
2019,2,366,0,0,0,0,0,0,0,0,0,0,0
2019,2,367,187366.62,368888.04,114464.27,8695.23,0,21583.92,8763.2,0,3912.69,0,713673.97
2019,2,401,37967.05,3296,0,0,0,1560.32,0,0,0,0,42823.37
2019,2,403,26914.31,1371.01,2675.02,302.66,0,0,1587.91,0,0,0,32850.91
2019,2,404,9917.81,13106.11,4841.55,283.57,0,1639.42,0,0,0,0,29788.46
2019,2,520,195106.52,31478.16,31621.69,148.12,0,2968.57,0,0,0,0,261323.06
2019,2,536,40766.52,19500.07,165.94,396.45,0,9280.33,433.98,0,0,0,70543.29
2019,3,113,190281.24,171681.57,47495.17,-2020.85,0,35978.82,1117.18,0,4462.78,0,448995.91
2019,3,114,401121.74,115435.36,39200.78,3463.31,0,64043.46,20442.79,0,-277.47,0,643429.97
2019,3,117,71204.85,30386.14,2327.66,206.4,0,6404.81,762.88,0,92050.82,0,203343.56
2019,3,160,170624.95,65212.52,29800.16,30.04,0,21458.95,9504.34,0,3879.47,0,300510.43
2019,3,190,0,0,0,0,0,0,0,0,0,0,0
2019,3,215,184203.83,88229.34,36601.82,1292.69,0,30420.24,22795.81,0,6599.45,0,370143.18
2019,3,216,131009.16,43928.6,27155.63,1759.97,0,30882.53,8753.79,0,5436.95,0,248926.63
2019,3,218,130736.34,90551.8,40125.88,2514.93,0,63202.85,12284.61,0,17212.07,0,356628.48
2019,3,364,32592.06,54587.11,55599.13,1529.46,0,7603.52,0,0,8542.57,0,160453.85
2019,3,365,100069.83,53020.19,38566.25,9386.56,0,71002.62,2964.83,0,29751.79,0,304762.07
2019,3,366,0,0,0,0,0,0,0,0,0,0,0
2019,3,367,249959.23,220987.27,166586.06,2134.04,0,18700.49,7309.56,0,45849.46,0,711526.11
2019,3,401,151574.25,2517.58,1714.57,-311.49,0,305.78,0,0,0,0,155800.69
2019,3,403,32554.74,1515.06,5306.13,547.83,0,220.73,1915.41,0,0,0,42059.9
2019,3,404,13627.96,8132.94,12367.88,340.03,0,3566.8,0,0,0,0,38035.61
2019,3,520,164806.39,55286.14,12488.77,4582.02,0,4050.21,1807.44,0,0,0,243020.97
2019,3,536,57904.42,20419.71,4769.74,1346.62,0,6485.39,3230.52,0,4312.66,0,98469.06
2019,4,113,274669.2,96148.07,19531.94,232.43,0,-5050.88,419.84,0,2217.93,0,388168.53
2019,4,114,417988.27,117893.24,34563.01,2644.03,0,-22290.29,7704.94,0,5531.41,0,564034.61
2019,4,117,90565.68,36597.12,16548.94,66.61,0,-672.53,-516.9,0,88159.92,0,230748.84
2019,4,160,168288.45,67113.63,21689.4,1638.68,0,10334.8,-624.27,0,999.81,0,269440.5
2019,4,190,0,0,0,0,0,0,0,0,0,0,0
2019,4,215,215923.07,123576.31,81106.81,2937.06,0,44580.93,-2537.82,0,1246.27,0,466832.63
2019,4,216,81510.62,29463.12,52778.54,7910.39,0,569.72,6519.99,0,6006.72,0,184759.1
2019,4,218,135611.3,40634.9,6909.41,2446.47,0,-12225.43,452.29,0,2173.19,0,176002.13
2019,4,364,69154.23,19734.5,20804.8,6835.69,0,-1552.74,-92.28,0,36195.37,0,151079.57
2019,4,365,156739.96,34006.33,54192.46,6912.76,0,17522.7,-1682.83,0,37982.73,0,305674.11
2019,4,366,0,0,0,0,0,0,0,0,0,0,0
2019,4,367,257629.12,146597.74,34940.74,15229.03,0,50340.52,-1270.24,0,64863.63,0,568330.54
2019,4,401,42302.4,46,0,342.92,0,-1661.03,0,0,0,0,41030.29
2019,4,403,21278,4925.45,172.35,762.56,0,700.66,-872.5,0,0,0,26966.52
2019,4,404,8422.33,20757.89,7499.33,1274.79,0,-2072.25,0,0,0,0,35882.09
2019,4,520,102592.09,51948.14,14107.97,1128.7,0,24724.56,-1544.12,0,3847.2,0,196804.54
2019,4,536,46403.35,34278.99,2300.05,1009.16,0,-5482.57,-1153.97,0,2812.1,0,80167.11
2019,5,113,286304.97,134309.85,64607.92,2749.36,0,19598.53,8991.16,0,17.44,0,516579.23
2019,5,114,389093.25,144936.52,25914.43,-643.41,0,24175.01,21668.79,0,1740.53,0,606885.12
2019,5,117,127401.25,27287.01,63184.7,1434.43,0,6258.32,1326.37,0,58163.36,0,285055.44
2019,5,160,197804.18,56121.3,27670.02,145.34,0,30781.19,4625.34,0,215.43,0,317362.8
2019,5,190,0,0,0,0,0,0,0,0,0,0,0
2019,5,215,200677.81,111048.87,29702.09,732.53,0,40697.46,75351.81,0,4461.27,0,462671.84
2019,5,216,127647.61,60814.7,40559.99,5162.97,0,10443.81,6036.24,0,-813,0,249852.32
2019,5,218,192496.28,37376.86,15418.31,2123.83,0,15924.58,4837.83,0,25914.59,0,294092.28
2019,5,364,84568,78026.46,12114.42,1830.03,0,9192.6,1136.59,0,16376.81,0,203244.91
2019,5,365,252736.42,96724.47,121866.02,3078.8,0,20039.09,5062.26,0,34215.26,0,533722.32
2019,5,366,0,0,0,0,0,0,0,0,0,0,0
2019,5,367,382944.52,171513.76,69227.44,3272.5,0,35979.52,8998.03,0,24308.14,0,696243.91
2019,5,401,38384.62,9745.36,3184.65,0,0,782.64,0,0,-658.11,0,51439.16
2019,5,403,30547.82,8030.1,1974.12,394.82,0,0,0,0,0,0,40946.86
2019,5,404,5291.92,2995.29,549.33,1382.27,0,2523.81,0,0,0,0,12742.62
2019,5,520,115746.25,54784.36,9333.07,-2677.69,0,12036.41,3218.78,0,2458.15,0,194899.33
2019,5,536,49215.11,61186.81,17215.09,255.73,0,530.5,0,0,1598.75,0,130001.99
2019,6,113,275658.4,113346.51,34953.12,-681.93,0,12076.2,1453.97,0,3707.84,0,440514.11
2019,6,114,375900.52,71321.35,38250.27,3618.5,0,23343.35,26533.29,0,8220.54,0,547187.82
2019,6,117,60253.81,21753.2,13464.97,6591.72,0,1996.17,616.11,0,126933.77,0,231609.75
2019,6,160,149689,75243.57,7946.06,137.38,0,22363.3,1036.04,0,1687.42,0,258102.77
2019,6,190,0,0,0,0,0,0,0,0,0,0,0
2019,6,215,266662.3,110033.1,89724.79,4659.28,0,54718.22,3001.46,0,3799.29,0,532598.44
2019,6,216,102387.51,37181.14,66179.51,2367.57,0,16974.11,15959.87,0,48183.86,0,289233.57
2019,6,218,117197.91,53836.97,22156.88,771.36,0,9238.09,4359.39,0,7924.45,0,215485.05
2019,6,364,54895.62,59654.78,8456.32,1860.99,0,5470.73,709.25,0,44956.39,0,176004.08
2019,6,365,135713.72,109229.39,33434.85,15885.8,0,45647.15,1890.22,0,46263.75,0,388064.88
2019,6,366,0,0,0,0,0,0,0,0,0,0,0
2019,6,367,176799.27,189964.57,32634.47,4503.58,0,44386.53,3326.64,0,42906.67,0,494521.73
2019,6,401,62050.57,2529.06,0,-214.95,0,952.32,0,0,0,0,65317
2019,6,403,59223.03,21255.49,65557.42,0,0,0,416.66,0,0,0,146452.6
2019,6,404,23018.99,30357.31,-220.36,109.87,0,2653.77,0,0,0,0,55919.58
2019,6,520,96032.86,80718.99,8348.84,29.71,0,7593.11,0,0,784.61,0,193508.12
2019,6,536,68527.51,49821.34,10963.84,3210.79,0,5454.57,1035.58,0,0,0,139013.63
2019,7,113,233115.13,169532.5,97610.4,4038.33,0,20115.35,3590.96,0,56129.04,0,584131.71
2019,7,114,318363.04,83448.64,21742.63,3084.58,0,34192.64,20765.97,0,1281.05,0,482878.55
2019,7,117,51711.9,11383.18,6225.71,1747.37,0,1841.87,208.48,0,70050.28,0,143168.79
2019,7,160,157949.34,79047.31,8279.67,1743.82,0,53494.89,2129.4,0,360.19,0,303004.62
2019,7,190,0,0,0,16.05,0,0,0,0,0,0,16.05
2019,7,215,212281.53,281130.55,57852.39,2950.42,0,49414.62,4615.26,0,2619.16,0,610863.93
2019,7,216,91878.53,49463.51,31346.93,12746.23,0,39984.73,10427.59,0,4677.5,0,240525.02
2019,7,218,136791.85,42225.26,10428.2,5426.87,0,12880.19,10546.55,0,37279.01,0,255577.93
2019,7,364,76174.39,30921.36,12525.23,887.43,0,8941.32,0,0,15135.93,0,144585.66
2019,7,365,142317.62,118096.77,81339.66,11813.8,0,49327.57,2579.84,0,-9357.38,0,396117.88
2019,7,366,0,0,0,0,0,0,0,0,0,0,0
2019,7,367,336380.6,112147.88,37977.68,5584.47,0,42645.69,5647.84,0,25831.36,0,566215.52
2019,7,401,39008.31,150.54,0,0,0,368.58,0,0,0,0,39527.43
2019,7,403,14944.07,16542,0,148.12,0,0,0,0,0,0,31634.19
2019,7,404,25965.92,47145.19,0,0,0,13978.38,0,0,0,0,87089.49
2019,7,520,156049.3,56969.65,38347.75,201.75,0,11636.68,0,0,1786.68,0,264991.81
2019,7,536,79082.44,41850.86,10949.4,-20.19,0,1869.21,564.61,0,0,0,134296.33
2019,8,113,263271.24,154561.36,67776.5,4687.41,0,17329.01,6900.58,0,58558.37,0,573084.47
2019,8,114,319526.52,133672.67,46657.2,5890.79,0,36976.17,23423.3,0,8229.02,0,574375.67
2019,8,117,95649.36,14370.1,17178.83,4975.28,0,2424.18,538.44,0,61943.86,0,197080.05
2019,8,160,191521.1,54921.04,51442.31,834.48,0,27036.83,1568.86,0,1569.25,0,328893.87
2019,8,190,0,0,0,0,0,0,0,0,0,0,0
2019,8,215,162614.04,63921.69,98682.14,3255.75,0,34825.1,2388.04,0,35750.61,0,401437.37
2019,8,216,90225.59,47363.8,37868.1,3673.01,0,6716.81,7662.22,0,4982.29,0,198491.82
2019,8,218,168377.03,25751.9,19908,2109.2,0,4739.2,6095.76,0,273.43,0,227254.52
2019,8,364,63269.98,-7813.63,13587.29,2852.36,0,7259.95,183.62,0,86124.88,0,165464.45
2019,8,365,248195.15,66942.95,37430.37,11065.38,0,32423.79,5236.87,0,11605.67,0,412900.18
