Year,Period,Branch,New Equipment Sales,Used Equipment Sales,RPO Sales,Re-Marketing Sales,Trade-In Sales,RtoR Sales,Other,Total Equipment
2019,1,113,1031096.28,0,33960,0,0,0,0,1065056.28
2019,1,114,494905,14000,0,0,0,238988.22,3325,751218.22
2019,1,117,160009,0,0,0,0,0,2222,162231
2019,1,160,106352,0,0,105442.41,0,0,5786.69,217581.1
2019,1,190,4900,2500,0,687000,111500,262000,0,1067900
2019,1,215,1014358,0,0,0,0,0,0,1014358
2019,1,216,174650,0,0,0,0,0,0,174650
2019,1,218,340527.9,0,0,305000,0,0,0,645527.9
2019,1,364,0,0,0,561847.03,0,480765,0,1042612.03
2019,1,365,520934,12500,0,214000,0,0,0,747434
2019,1,366,0,0,0,0,0,0,5748.06,5748.06
2019,1,367,459127,0,183400.13,0,0,419000,19725,1081252.13
2019,1,401,1400,0,0,138000,0,0,4843.05,144243.05
2019,1,403,0,0,0,0,0,0,1291.67,1291.67
2019,1,404,20868,0,0,0,0,0,6076.5,26944.5
2019,1,520,3867,3850,0,0,0,0,0,7717
2019,1,536,24796.25,0,0,0,0,0,0,24796.25
2019,2,113,326341.24,0,118325,0,0,0,0,444666.24
2019,2,114,1362933.69,380,0,160000,0,0,3325,1526638.69
2019,2,117,11950,0,0,0,0,0,2222,14172
2019,2,160,21113.08,0,0,0,0,0,5786.69,26899.77
2019,2,190,163236,84408.75,0,1153650,299932.5,580537.5,0,2281764.75
2019,2,215,45000,50111,0,0,0,0,0,95111
2019,2,216,5016564,0,0,0,0,0,0,5016564
2019,2,218,2440505,0,0,275630,0,0,0,2716135
2019,2,364,1696165,0,0,159842,0,0,0,1856007
2019,2,365,776950,53500,0,0,0,0,0,830450
2019,2,366,0,0,0,0,0,0,5748.06,5748.06
2019,2,367,608556,0,0,0,0,0,19725,628281
2019,2,401,62850,4700,0,0,0,0,4843.05,72393.05
2019,2,403,195278,0,0,0,0,0,1291.67,196569.67
2019,2,404,0,6000,81130.29,0,0,0,6076.5,93206.79
2019,2,520,408257,0,0,0,0,0,0,408257
2019,2,536,163383,0,0,0,0,305000,0,468383
2019,3,113,772492.98,67000,0,172500,186750,0,1000,1199742.98
2019,3,114,1540555.25,4250,0,0,0,0,3325,1548130.25
2019,3,117,168330.5,0,0,125099.31,0,0,2222,295651.81
2019,3,160,494330,4550,0,280200,0,0,5786.69,784866.69
2019,3,190,34637,479750,0,2023995,61500,0,0,2599882
2019,3,215,613084,0,0,0,0,0,0,613084
2019,3,216,21216,0,0,129675,0,0,0,150891
2019,3,218,980840,3500,0,624757,0,-3000,0,1606097
2019,3,364,3784868,0,0,64150,0,0,0,3849018
2019,3,365,664855,0,0,835910,0,0,0,1500765
2019,3,366,0,0,0,0,0,0,5748.06,5748.06
2019,3,367,188500,0,0,1329000,0,857618.47,19725,2394843.47
2019,3,401,1400,4800,0,0,0,0,4843.05,11043.05
2019,3,403,0,0,0,0,0,0,1291.67,1291.67
2019,3,404,0,4000,0,0,0,0,6076.5,10076.5
2019,3,520,1815,0,0,0,0,991170,0,992985
2019,3,536,956476,0,0,0,0,0,0,956476
2019,4,113,1311248,0,0,0,1000,272500,0,1584748
2019,4,114,1062522.25,0,0,0,0,0,3325,1065847.25
2019,4,117,936265.21,0,0,233446.24,0,0,2222,1171933.45
2019,4,160,1080952.81,4900,0,124306,0,0,5786.69,1215945.5
2019,4,190,-87487,7900,0,883575,492912.5,346290,0,1643190.5
2019,4,215,75378,0,0,369000,0,0,0,444378
2019,4,216,1845,0,0,0,0,0,0,1845
2019,4,218,246000,6850,0,1448452,0,158000,0,1859302
2019,4,364,1185995,0,0,368995,0,0,0,1554990
2019,4,365,1982724,2900,0,235000,0,0,0,2220624
2019,4,366,0,0,0,0,0,0,5748.06,5748.06
2019,4,367,487784,260009.87,0,622000,0,90050,19725,1479568.87
2019,4,401,1600,57000,0,0,0,0,4843.05,63443.05
2019,4,403,2242,0,0,0,0,0,1291.67,3533.67
2019,4,404,0,0,0,0,0,0,6076.5,6076.5
2019,4,520,514299.13,2710,0,218772,0,97500,0,833281.13
2019,4,536,0,0,0,0,0,0,0,0
2019,5,113,354972.5,661140,0,483080.28,0,911584,0,2410776.78
2019,5,114,788758,59500,0,1137150,0,0,3325,1988733
2019,5,117,299111,189355,0,0,0,0,2222,490688
2019,5,160,3830578.48,0,0,184085,1400500,0,5786.69,5420950.17
2019,5,190,0,17000,0,1153041,37000,170000,0,1377041
2019,5,215,38797,0,0,0,0,0,750,39547
2019,5,216,776121,0,0,0,0,0,0,776121
2019,5,218,1209620.93,0,0,129035,0,257020.09,0,1595676.02
2019,5,364,3737995,0,0,574591,0,0,0,4312586
2019,5,365,27302,208250,0,252500,0,284650,0,772702
2019,5,366,0,0,0,0,0,0,5748.06,5748.06
2019,5,367,270945,0,0,2006000,0,-161500,19725,2135170
2019,5,401,0,0,0,0,0,0,4843.05,4843.05
2019,5,403,0,0,0,0,0,0,1291.67,1291.67
2019,5,404,724000,9000,0,0,0,0,6076.5,739076.5
2019,5,520,34802,0,0,0,0,0,0,34802
2019,5,536,714751.42,0,0,0,0,0,0,714751.42
2019,6,113,435608.25,0,527549.16,844688.58,0,0,0,1807845.99
2019,6,114,1962029.22,0,132293.52,0,0,0,3325,2097647.74
2019,6,117,55960,0,902874.4,0,0,0,2222,961056.4
2019,6,160,1247314,0,0,250690,0,0,5786.69,1503790.69
2019,6,190,43041,0,0,2824550,66000,260000,0,3193591
2019,6,215,111940,0,0,0,0,265000,0,376940
2019,6,216,3150,0,0,147000,0,0,0,150150
2019,6,218,2244425.99,0,0,296363.36,0,76848.17,0,2617637.52
2019,6,364,1042187,0,0,438772,0,0,0,1480959
2019,6,365,463274,0,0,169500,0,430000,0,1062774
2019,6,366,0,0,0,0,0,0,5748.06,5748.06
2019,6,367,2249760,0,212522,98920,35000,0,18375,2614577
2019,6,401,6300,4200,0,90000,0,0,4843.05,105343.05
2019,6,403,2800,70525,0,0,0,0,1291.67,74616.67
2019,6,404,21200,0,0,0,0,0,6076.5,27276.5
2019,6,520,161800,0,0,105000,0,0,0,266800
2019,6,536,19959.76,0,0,113000,0,185000,0,317959.76
2019,7,113,924621,-150,0,215625,352000,372000,0,1864096
2019,7,114,2283547.56,0,0,0,0,0,3325,2286872.56
2019,7,117,448940,0,0,0,0,0,0,448940
2019,7,160,557861,56795,0,0,0,0,6036.69,620692.69
2019,7,190,1626322,0,0,1092300,0,1545000,0,4263622
2019,7,215,489710,0,0,0,0,0,0,489710
2019,7,216,684325,0,0,0,0,0,0,684325
2019,7,218,948014.61,28400,0,170000,0,0,0,1146414.61
2019,7,364,0,1530,0,5875,0,0,0,7405
2019,7,365,436525,1800,0,276500,0,0,0,714825
2019,7,366,0,0,0,0,0,0,5748.06,5748.06
2019,7,367,426975,0,0,160000,0,0,18375,605350
2019,7,401,0,12500,0,140000,0,0,4843.05,157343.05
2019,7,403,1500,0,0,0,0,0,1291.67,2791.67
