Year,Period,Branch,Branch (Name),Parts Counter,Parts Shop,Parts Other,Parts All
2019,1,113,Raleigh,1411,1010,861,3282
2019,1,114,Charlotte,2526,1663,1841,6030
2019,1,117,Greenville,366,262,273,901
2019,1,160,Asheville,1672,775,455,2902
2019,1,215,Columbia,1319,887,1244,3450
2019,1,216,Piedmont,1058,434,562,2054
2019,1,218,Charleston,941,646,745,2332
2019,1,364,Macon,79,135,76,290
2019,1,365,Savannah,1781,1161,1809,4751
2019,1,367,Buford,2148,1865,1206,5219
2019,1,520,Knoxville,591,412,233,1236
2019,1,536,Chattanooga,594,112,57,763
2019,2,113,Raleigh,933,999,1012,2944
2019,2,114,Charlotte,2948,1204,2156,6308
2019,2,117,Greenville,574,170,216,960
2019,2,160,Asheville,1250,1495,565,3310
2019,2,215,Columbia,1994,1057,1039,4090
2019,2,216,Piedmont,747,248,1780,2775
2019,2,218,Charleston,1309,450,425,2184
2019,2,364,Macon,31,163,99,293
2019,2,365,Savannah,1828,449,1507,3784
2019,2,367,Buford,1985,1666,1151,4802
2019,2,520,Knoxville,627,327,219,1173
2019,2,536,Chattanooga,452,270,74,796
2019,3,113,Raleigh,1522,1557,1277,4356
2019,3,114,Charlotte,2748,1181,2248,6177
2019,3,117,Greenville,542,136,277,955
2019,3,160,Asheville,1635,587,738,2960
2019,3,215,Columbia,1494,785,1841,4120
2019,3,216,Piedmont,1376,529,1380,3285
2019,3,218,Charleston,2066,941,1611,4618
2019,3,364,Macon,270,450,338,1058
2019,3,365,Savannah,1300,670,1478,3448
2019,3,367,Buford,2158,1292,1507,4957
2019,3,520,Knoxville,530,413,128,1071
2019,3,536,Chattanooga,792,186,221,1199
2019,4,113,Raleigh,2098,1115,608,3821
2019,4,114,Charlotte,2794,1262,2803,6859
2019,4,117,Greenville,730,246,385,1361
2019,4,160,Asheville,1781,633,720,3134
2019,4,215,Columbia,2232,1046,1616,4894
2019,4,216,Piedmont,1311,244,1268,2823
2019,4,218,Charleston,1514,514,1000,3028
2019,4,364,Macon,444,115,331,890
2019,4,365,Savannah,1863,399,2050,4312
2019,4,367,Buford,2379,1244,1735,5358
2019,4,520,Knoxville,1036,362,563,1961
2019,4,536,Chattanooga,560,558,120,1238
2019,5,113,Raleigh,2525,1858,1144,5527
2019,5,114,Charlotte,3019,1449,1939,6407
2019,5,117,Greenville,975,316,724,2015
2019,5,160,Asheville,2713,687,844,4244
2019,5,215,Columbia,1767,1253,2137,5157
2019,5,216,Piedmont,1310,564,647,2521
2019,5,218,Charleston,1336,354,1080,2770
2019,5,364,Macon,693,224,196,1113
2019,5,365,Savannah,1915,881,1040,3836
2019,5,367,Buford,2562,1210,1278,5050
2019,5,520,Knoxville,913,399,375,1687
2019,5,536,Chattanooga,924,490,122,1536
