Year,Period,Branch,Branch Name,Parts Counter,Parts Shop,Parts Other,Service Customer,Service Warranty,Service Internal,Service Sublet,Service CSA,Service ACAP,Parts All,Service All
2019,1,113,Raleigh,198034.12,99856.37,92649.13,101958.5,32617.5,59149,8262.65,2827,1184,390539.62,205998.65
2019,1,114,Charlotte,284941.66,181385.3,101277.27,133448.69,9021.5,84805.35,15751.03,18433,442,567604.23,261901.57
2019,1,117,Greenville,71506.19,25031.61,27799.72,29167,14049.5,17500,75.52,3151.75,3049.5,124337.52,66993.27
2019,1,160,Asheville,199765.74,153321.81,79641.02,62321.75,20606.5,33988.75,330.77,1591.25,0,432728.57,118839.02
2019,1,215,Columbia,213715.93,141827.23,124892.52,83369.88,33991.25,58839,2682.76,2315.75,1157.5,480435.68,182356.14
2019,1,216,Piedmont,85091.18,55439.84,31370.06,61995,17592.75,15831.5,997.08,10025,652.5,171901.08,107093.83
2019,1,218,Charleston,114006.53,117667.6,41143.72,56444,20984,33730.5,1780.18,3314.5,768,272817.85,117021.18
2019,1,364,Macon,4992.48,20704.39,13177.39,30425,7371,2325.5,0,0,2521,38874.26,42642.5
2019,1,365,Savannah,150853.95,72984.1,138802.09,86206.25,30743.75,94142.25,9800.02,1885,2578.75,362640.14,225356.02
2019,1,367,Buford,334971.82,196804.48,394715,164573.85,42254.5,59745.5,6343.81,7976,11634,926491.3,292527.66
2019,1,520,Knoxville,68759.89,29423.53,19499.16,48252.37,4242,14371.75,3955.15,950,0,117682.58,71771.27
2019,1,536,Chattanooga,46846.22,13106.38,23165.93,12611.5,2336,13583.5,11086.58,0,0,83118.53,39617.58
2019,2,113,Raleigh,172507.95,102576.04,108774.63,97794.06,49617.75,58085.75,13523.67,582.5,544,383858.62,220147.73
2019,2,114,Charlotte,321105.76,80758.02,154446.5,105730.75,18786.5,72181.43,8333.2,22104.75,608,556310.28,227744.63
2019,2,117,Greenville,116715.44,20332.03,37986,30118.75,15414.16,14608.25,4310.02,2533.5,4768,175033.47,71752.68
2019,2,160,Asheville,172262.48,78642.47,46180.07,83246.43,27107,28794.5,3608.98,2375,0,297085.02,145131.91
2019,2,190,Corporate,0,0,-38.48,0,0,0,0,0,0,-38.48,0
2019,2,215,Columbia,128338.98,151402.47,62159.88,81238.25,24584,49644.5,4723.51,3160,2752,341901.33,166102.26
2019,2,216,Piedmont,90078.53,19818.56,125785.22,37967.25,19162.5,33483.5,5304.26,8378,5312,235682.31,109607.51
2019,2,218,Charleston,77765.16,30274.17,66110.01,31926.25,12901,38446.75,227.79,2342.5,384,174149.34,86228.29
2019,2,364,Macon,5476.61,24797.49,16019.04,23711.75,12261,7399.88,0,2638,2342.5,46293.14,48353.13
2019,2,365,Savannah,177859.38,70003.92,110655.8,53742.5,48640.25,70568.75,7269.72,2090,8103.25,358519.1,190414.47
2019,2,367,Buford,187366.62,368888.04,157419.31,168852.75,38020.5,55042,7792.52,10624,9194.5,713673.97,289526.27
2019,2,520,Knoxville,195106.52,31478.16,34738.38,35095,15186,18058,1105.84,0,0,261323.06,69444.84
2019,2,536,Chattanooga,40766.52,19500.07,10276.7,30903.75,1478,9724,9634.88,247.5,0,70543.29,51988.13
